target,segment,component,weight
revenue,global,rev_baseline,0.0
revenue,global,rev_recursive_level,0.4183532143207437
revenue,global,rev_recursive_diff,0.03967046739811235
revenue,global,rev_component,0.5419763182811439
revenue,global,rev_regime,0.0
revenue,early,rev_baseline,0.0
revenue,early,rev_recursive_level,0.7653216795345897
revenue,early,rev_recursive_diff,0.0
revenue,early,rev_component,0.2346783204654103
revenue,early,rev_regime,0.0
revenue,late,rev_baseline,0.05064801571602494
revenue,late,rev_recursive_level,0.3438560426916021
revenue,late,rev_recursive_diff,0.1625883267387918
revenue,late,rev_component,0.44290761485358116
revenue,late,rev_regime,0.0
revenue,mid,rev_baseline,0.0
revenue,mid,rev_recursive_level,0.3880307766208942
revenue,mid,rev_recursive_diff,0.14788934136736487
revenue,mid,rev_component,0.46407988201174105
revenue,mid,rev_regime,0.0
ratio,global,ratio_baseline,0.0
ratio,global,ratio_recursive,0.3404472649419536
ratio,global,ratio_regime,0.6595527350580465
ratio,2019,ratio_baseline,0.0
ratio,2019,ratio_recursive,0.2829128077743812
ratio,2019,ratio_regime,0.7170871922256187
ratio,2020,ratio_baseline,0.0
ratio,2020,ratio_recursive,0.4533116110447278
ratio,2020,ratio_regime,0.5466883889552723
ratio,2021,ratio_baseline,0.0
ratio,2021,ratio_recursive,0.3155594083569131
ratio,2021,ratio_regime,0.6844405916430869
ratio,2022,ratio_baseline,0.0
ratio,2022,ratio_recursive,0.2868754613880396
ratio,2022,ratio_regime,0.7131245386119605
